p0,p1,RUNTIME,elapsed_sec
10,250,2.348,558.1792004108429
10,500,2.258,565.5924897193909
20,250,2.204,573.0858261585236
100,500,2.111,580.3339946269989
16,500,2.191,587.5221104621887
200,500,2.32,591.7014803886414
40,500,2.092,595.9880712032318
400,500,2.37,603.4904158115387
5,250,2.614,611.09210896492
5,500,2.523,615.2942495346069
4,500,2.851,620.5706691741943
50,500,2.113,624.9987008571625
8,5,3.849,637.413948059082
8,16,3.375,643.5911800861359
8,1,5.953,651.5002617835999
8,2000,2.186,655.760350227356
8,1000,2.352,662.7497861385345
8,50,3.358,668.6345100402832
8,2,4.004,674.554032087326
8,80,2.912,682.4346752166748
8,20,3.426,690.918532371521
8,125,2.929,696.417106628418
8,4,4.103,705.65371966362
8,100,2.897,710.7681663036346
8,10,3.395,719.2052788734436
100,80,2.703,725.6358358860016
20,80,1.901,732.4835164546967
40,80,2.899,738.758216381073
25,80,1.795,745.5386080741882
80,80,2.69,749.8725693225861
1000,80,3.935,756.2971761226654
500,80,3.052,764.4422500133514
25,200,2.04,768.9202234745026
25,125,2.317,773.7933166027069
25,1,4.806,783.637814283371
25,40,1.845,790.7537143230438
25,1000,2.074,795.9936575889587
25,8,3.157,802.0387926101685
25,4,3.697,807.6719665527344
25,25,3.271,813.1895723342896
25,20,3.173,820.992871761322
25,2000,1.981,828.0291261672974
25,50,1.81,834.8495764732361
25,100,1.821,838.9482872486115
25,16,4.864,848.8890464305878
25,5,4.413,857.0990920066833
20,2000,2.011,864.0292100906372
20,40,2.135,869.9183280467987
20,50,1.81,876.7423660755157
20,1000,2.093,884.2351038455963
20,200,2.08,891.2647552490234
20,1,5.048,900.8253886699677
20,125,2.903,905.9860711097717
20,100,1.832,909.5993249416351
20,25,3.268,917.9796087741852
20,20,3.28,923.0594103336334
20,4,4.04,931.9610946178436
25,2,3.838,941.0185868740082
20,8,3.431,946.1442699432373
40,2000,2.014,952.6171178817749
80,2000,1.987,959.4005815982819
50,2000,1.992,965.9634518623352
1,2000,3.713,971.3873748779297
16,2000,2.091,977.4753828048706
10,2000,2.143,984.5146729946136
1000,2000,3.348,989.8349349498749
500,2000,1.991,996.462867975235
250,2000,1.983,1003.4415261745453
400,2000,2.02,1010.3495578765869
5,2000,2.449,1017.1187505722046
2,2000,2.849,1024.9053781032562
200,2000,1.989,1031.9933323860168
4,2000,2.35,1038.2370872497559
50,200,1.986,1042.1718521118164
100,200,1.951,1049.3289587497711
80,200,2.184,1054.0202858448029
10,200,2.243,1061.4278118610382
500,200,2.49,1068.9357450008392
50,50,1.744,1075.5512416362762
100,50,1.863,1080.5562932491302
40,50,1.747,1084.4844887256622
80,50,1.869,1091.3895826339722
16,50,3.242,1097.1609749794006
10,50,3.183,1105.3795320987701
200,50,1.866,1109.5553245544434
400,50,2.002,1113.6755607128143
250,50,1.852,1120.282042503357
5,50,2.841,1125.317367553711
500,50,2.367,1130.775277853012
4,50,2.839,1137.6450896263123
100,40,1.931,1144.7285709381104
50,40,1.787,1148.2980270385742
80,40,1.947,1153.8510591983795
40,40,2.162,1161.18776345253
500,40,2.0,1168.054988861084
1000,40,3.77,1175.7479872703552
100,1000,2.114,1183.0167818069458
10,40,3.1,1191.0166265964508
250,40,2.068,1198.360149860382
16,40,3.13,1203.9006116390228
50,1000,2.078,1209.0455310344696
50,100,2.039,1215.8715918064117
100,100,2.678,1220.3673195838928
50,125,2.822,1225.1133298873901
200,40,1.874,1229.3931720256805
400,40,1.935,1234.6608095169067
5,40,2.752,1239.1028773784637
80,1000,2.137,1243.1367194652557
200,1000,2.128,1247.7506988048553
40,1000,2.042,1252.2452273368835
500,1000,2.17,1258.187331199646
80,100,2.696,1262.63791513443
16,1000,2.236,1269.5355281829834
40,200,2.003,1273.4373478889465
40,100,2.662,1280.50017619133
2000,2000,5.079,1287.5876302719116
100,2000,1.977,1294.071566581726
4,40,2.955,1300.3333582878113
200,100,2.666,1307.1698596477509
10,1000,2.307,1311.9206566810608
16,200,2.201,1319.002400636673
